timestamp,open,high,low,close,volume
2025-08-05,203.4000,205.3400,202.1600,202.9200,44155079
2025-08-04,204.5050,207.8800,201.6750,203.3500,75109298
2025-08-01,210.8650,213.5800,201.5000,202.3800,104434473
2025-07-31,208.4900,209.8400,207.1600,207.5700,80698431
2025-07-30,211.8950,212.3900,207.7200,209.0500,45512514
2025-07-29,214.1750,214.8100,210.8200,211.2700,51411723
2025-07-28,214.0300,214.8450,213.0600,214.0500,37858017
2025-07-25,214.7000,215.2400,213.4000,213.8800,40268781
2025-07-24,213.9000,215.6900,213.5300,213.7600,46022620
2025-07-23,215.0000,215.1500,212.4100,214.1500,46989301
2025-07-22,213.1400,214.9500,212.2301,214.4000,46404072
2025-07-21,212.1000,215.7800,211.6300,212.4800,51377434
2025-07-18,210.8700,211.7900,209.7045,211.1800,48974591
2025-07-17,210.5700,211.8000,209.5900,210.0200,48068141
2025-07-16,210.2950,212.4000,208.6400,210.1600,47490532
2025-07-15,209.2200,211.8900,208.9200,209.1100,42296339
2025-07-14,209.9250,210.9100,207.5400,208.6200,38840111
2025-07-11,210.5650,212.1300,209.8600,211.1600,39765812
2025-07-10,210.5050,213.4800,210.0300,212.4100,44443635
2025-07-09,209.5300,211.3300,207.2200,211.1400,48749367
2025-07-08,210.1000,211.4300,208.4500,210.0100,42848928
2025-07-07,212.6800,216.2300,208.8000,209.9500,50228984
2025-07-03,212.1450,214.6500,211.8101,213.5500,34955836
2025-07-02,208.9100,213.3400,208.1400,212.4400,67941811
2025-07-01,206.6650,210.1865,206.1401,207.8200,78788867
2025-06-30,202.0100,207.3900,199.2607,205.1700,91912816
2025-06-27,201.8900,203.2200,200.0000,201.0800,73188571
2025-06-26,201.4300,202.6400,199.4600,201.0000,50799121
2025-06-25,201.4500,203.6700,200.6201,201.5600,39525730
2025-06-24,202.5900,203.4400,200.2000,200.3000,54064033
2025-06-23,201.6250,202.3000,198.9600,201.5000,55814272
2025-06-20,198.2350,201.7000,196.8550,201.0000,96813542
2025-06-18,195.9400,197.5700,195.0700,196.5800,45394689
2025-06-17,197.2000,198.3900,195.2100,195.6400,38856152
2025-06-16,197.3000,198.6850,196.5636,198.4200,43020691
2025-06-13,199.7300,200.3700,195.7000,196.4500,51447349
2025-06-12,199.0800,199.6800,197.3601,199.2000,43904635
2025-06-11,203.5000,204.5000,198.4100,198.7800,60989857
2025-06-10,200.6000,204.3500,200.5700,202.6700,54672608
2025-06-09,204.3900,206.0000,200.0200,201.4500,72862557
2025-06-06,203.0000,205.7000,202.0500,203.9200,46607693
2025-06-05,203.5000,204.7500,200.1500,200.6300,55221235
2025-06-04,202.9100,206.2400,202.1000,202.8200,43603985
2025-06-03,201.3500,203.7700,200.9550,203.2700,46381567
2025-06-02,200.2800,202.1300,200.1200,201.7000,35423294
2025-05-30,199.3700,201.9600,196.7800,200.8500,70819942
2025-05-29,203.5750,203.8100,198.5100,199.9500,51477938
2025-05-28,200.5900,202.7300,199.9000,200.4200,45339678
2025-05-27,198.3000,200.7400,197.4300,200.2100,56288475
2025-05-23,193.6650,197.7000,193.4600,195.2700,78432918
2025-05-22,200.7100,202.7500,199.7000,201.3600,46742407
2025-05-21,205.1700,207.0400,200.7100,202.0900,59211774
2025-05-20,207.6700,208.4700,205.0300,206.8600,42496635
2025-05-19,207.9100,209.4800,204.2600,208.7800,46140527
2025-05-16,212.3600,212.5700,209.7700,211.2600,54737850
2025-05-15,210.9500,212.9600,209.5400,211.4500,45029473
2025-05-14,212.4300,213.9400,210.5801,212.3300,49325825
2025-05-13,210.4300,213.4000,209.0000,212.9300,51909332
2025-05-12,210.9700,211.2679,206.7500,210.7900,63775814
2025-05-09,199.0000,200.5399,197.5350,198.5300,36453923
2025-05-08,197.7200,200.0500,194.6796,197.4900,50478872
2025-05-07,199.1700,199.4400,193.2500,196.2500,68616943
2025-05-06,198.2100,200.6500,197.0200,198.5100,51216482
2025-05-05,203.1000,204.1000,198.2100,198.8900,69018452
2025-05-02,206.0900,206.9900,202.1600,205.3500,101010621
2025-05-01,209.0800,214.5600,208.9000,213.3200,57365675
